aircraft,frequency
A320,108006
B738,57898
A321,57665
A332,54781
A319,48036
CRJX,33724
E190,30561
B744,27550
AT43,17101
B734,16570
AT76,15905
B737,9254
B763,9005
DH8D,7365
B752,4877
