aircraft,frequency
B738,78289
A320,35201
A319,18024
A321,8877
DH8D,6069
A332,2633
E190,2454
B752,2310
CRJX,1402
B734,1393
B737,1354
B763,1101
AT43,95
B744,12
AT76,6
